inventoryid,store,city,brand,description,size,onhand,price,startdate
103,9,East Williamfurt,Gates-Pittman,Rest Product,Small,0,68.18,2024-11-11
104,21,Whitestad,"Smith, Davis and Wright",Stop Product,Large,0,96.71,2024-09-23
105,29,West Juanfort,"Harris, Clark and Matthews",Behind Product,Medium,202,67.77,2024-09-02
106,5,Williamburgh,"Wright, Winters and Dominguez",Stop Product,Medium,215,51.31,2024-11-26
107,5,Wilsonmouth,Rogers and Sons,Model Product,Small,0,22.72,2024-06-23
108,6,Aguirreshire,Bennett-Collins,American Product,Small,60,39.8,2024-12-20
109,16,West Alicia,Rios Group,Several Product,Medium,0,76.67,2025-03-23
110,49,Rayside,Hopkins Ltd,Spend Product,Medium,149,9.75,2024-05-26
111,44,East Kristina,Thomas LLC,Investment Product,Large,0,81.23,2024-10-21
112,8,Gloverton,Long Ltd,Seven Product,Large,46,50.47,2025-02-03
113,33,Clineburgh,West-Hernandez,Relationship Product,Large,55,53.38,2024-08-20
114,48,Whitemouth,Lloyd Ltd,Win Product,Small,0,97.54,2024-08-23
115,25,Reeveschester,Hopkins Ltd,Today Product,Small,71,80.46,2024-07-12
116,23,Youngmouth,"Lucas, Johnson and Alvarez",Avoid Product,Medium,0,58.13,2025-02-27
117,17,West Raymond,"Lucas, Johnson and Alvarez",Beautiful Product,Large,4,67.55,2025-02-14
118,11,West Stevenmouth,"Bush, Reyes and Fox",There Product,Small,0,17.12,2024-11-23
119,26,West Sarahchester,Knox Group,Participant Product,Small,0,18.72,2025-04-02
120,42,Mercedesside,Bailey PLC,Go Product,Large,0,72.96,2025-02-08
121,45,Jacobview,Reynolds LLC,Result Product,Large,260,21.8,2024-11-06
122,12,New Jackson,Williams LLC,Choose Product,Small,110,5.59,2024-10-19
123,11,North Charlesport,"Bailey, Avery and Edwards",Ask Product,Medium,24,55.43,2024-08-10
124,37,Port Kenneth,Daniels PLC,Director Product,Large,29,83.39,2024-07-11
125,50,Port Amanda,Salazar-Graves,Decade Product,Medium,0,29.28,2024-10-04
126,15,West Benjamin,Bailey PLC,Air Product,Small,138,34.06,2024-08-02
127,32,South Kenneth,"Williams, Schultz and Black",Phone Product,Large,90,47.17,2024-11-18
128,31,Adamland,"Hernandez, Morrison and Villanueva",One Product,Medium,230,70.93,2024-05-09
129,39,New Richard,Howard Inc,Campaign Product,Small,166,91.97,2024-10-05
130,34,North George,"Smith, Davis and Wright",With Product,Medium,0,82.03,2024-12-25
131,29,Edwardsmouth,Richardson Group,Clearly Product,Small,140,18.33,2024-09-10
132,24,Johnsonhaven,James and Sons,Leg Product,Small,145,65.83,2024-10-12
133,26,West Tiffanyborough,Perkins-Roberts,Require Product,Small,77,76.72,2024-10-07
134,13,Dianaborough,Horne LLC,Foot Product,Medium,0,33.82,2025-03-06
135,10,East Daniel,Short-Cook,Also Product,Medium,0,79.48,2024-08-07
136,22,New Timothyshire,Hunt-Tucker,Wall Product,Large,138,83.57,2024-05-12
137,10,North Jeffrey,Brennan Group,As Product,Small,4,7.06,2025-03-09
138,24,Williamsland,Mitchell-Watson,Where Product,Large,0,20.35,2024-06-03
139,39,East Lauren,"Bush, Reyes and Fox",Which Product,Medium,0,68.04,2025-03-01
140,22,Contrerasburgh,Cook-Johnson,Appear Product,Medium,0,97.06,2024-10-31
141,44,Oconnellmouth,"George, Macdonald and Harper",Thousand Product,Medium,0,90.35,2024-10-10
142,45,Ochoaview,Rowe-Lewis,Both Product,Small,29,65.61,2024-05-09
143,34,Davidland,"Bradley, Baker and Mcneil",Fine Product,Small,158,46.65,2025-01-12
144,6,Lake Samantha,"Briggs, Morris and Weber",Life Product,Small,38,32.94,2024-05-17
145,50,Mileschester,"Navarro, Parker and Garcia",Mean Product,Small,12,33.8,2025-02-10
146,31,Martinezborough,Bennett-Collins,American Product,Small,226,39.8,2024-09-26
147,13,Timothyshire,Price Group,Garden Product,Medium,45,22.96,2024-07-03
148,32,Port Valerie,"Kent, Arias and Smith",Sort Product,Large,15,62.51,2024-10-04
149,47,Anthonyland,Garner and Sons,Reason Product,Large,0,68.35,2024-12-14
150,45,South Melvin,Bennett-Collins,Law Product,Small,61,33.71,2024-11-29
151,17,Gordontown,Vasquez-Velasquez,Despite Product,Small,0,44.5,2024-08-30
152,14,Penafort,Roberts and Sons,After Product,Medium,0,52.93,2024-11-14
153,27,West Robertborough,"West, Reed and Berry",From Product,Small,0,68.74,2024-10-08
154,50,Brownfort,"Kent, Arias and Smith",Often Product,Small,88,21.69,2024-08-16
155,33,Lake Alexandriaton,Lin and Sons,Cup Product,Large,0,41.9,2024-08-19
156,18,Bowenstad,"Hernandez, Davis and Williams",Least Product,Medium,5,55.22,2024-09-29
157,1,East Kristy,Murphy-Gardner,Reach Product,Small,120,17.11,2024-05-17
158,1,North Miguelland,"Hamilton, Rivera and Kelley",This Product,Medium,169,36.82,2024-08-29
159,16,Kiddmouth,Mcpherson and Sons,Learn Product,Large,0,34.62,2024-05-01
160,22,Brianstad,Mosley PLC,Available Product,Large,0,84.07,2024-08-30
161,38,Mitchellhaven,Chapman-Marsh,Quickly Product,Medium,180,15.0,2024-05-18
162,10,Lake Jacobborough,Kirk-Perry,Bank Product,Medium,0,22.72,2024-12-03
163,33,Barkerport,"Jones, Martinez and Taylor",Fund Product,Large,236,72.59,2024-08-11
164,21,Stephaniefurt,Mosley PLC,Buy Product,Medium,283,58.09,2024-06-07
165,48,Sarahborough,Thomas and Sons,Force Product,Small,0,20.17,2024-05-12
166,11,Krystalland,Rios Group,Course Product,Large,98,39.05,2024-11-03
167,4,Scottland,Pittman-Lucas,Within Product,Large,111,6.98,2024-07-26
168,49,Lake Melissaside,Snyder-Kelly,Four Product,Medium,102,39.15,2025-02-02
169,46,South David,"Osborne, Cox and Evans",Wind Product,Small,0,38.64,2024-06-08
170,35,Kellyville,"Ruiz, Rodriguez and Lane",Mouth Product,Medium,0,27.94,2025-02-07
171,44,East Jennymouth,Morales-Knox,Night Product,Small,37,78.86,2024-09-18
172,10,Lake Kristine,Mitchell-Watson,Better Product,Small,77,38.16,2024-04-08
173,7,West Jacqueline,"Fitzpatrick, Davis and Warren",Television Product,Medium,64,79.02,2024-10-15
174,27,East Anthony,Woods-Brady,Eat Product,Medium,37,7.43,2024-09-02
175,11,Kylemouth,Davis-Reyes,Approach Product,Large,31,79.16,2024-09-04
176,31,Lake Johnathanmouth,Williams Inc,Find Product,Large,0,58.47,2024-11-24
177,17,Andreaville,"Ruiz, Rodriguez and Lane",Because Product,Medium,233,41.68,2024-10-09
178,35,Kimberlyburgh,Lin and Sons,Consider Product,Medium,90,95.05,2024-11-28
179,41,West Kellybury,Wagner Group,Economic Product,Medium,45,48.07,2025-01-22
180,45,North Brianfurt,Snyder-Kelly,Nor Product,Large,178,8.48,2025-03-27
181,4,Michaelborough,"Ruiz, Rodriguez and Lane",Because Product,Medium,121,41.68,2025-03-10
182,34,Reevesberg,Thomas LLC,Without Product,Small,0,17.74,2024-08-18
183,4,Langton,"Herrera, Jackson and Koch",Pressure Product,Medium,161,5.29,2024-05-20
184,42,Port Jerry,"Hancock, Peters and Holmes",Economic Product,Small,13,95.45,2024-09-29
185,28,North Jenniferton,"Hernandez, Morrison and Villanueva",Attack Product,Medium,75,6.01,2025-01-22
186,22,Natashaberg,Hinton LLC,Example Product,Large,200,96.29,2024-08-03
187,30,North Patrick,Kaiser Group,Sell Product,Medium,23,78.05,2024-09-28
188,6,Lake Jacquelinebury,"Ruiz, Rodriguez and Lane",Because Product,Medium,81,41.68,2024-08-05
189,11,East Daniel,Schmidt-Mathews,Hospital Product,Medium,63,81.17,2024-10-10
190,27,Nelsonton,Rowe-Lewis,Economy Product,Small,27,56.87,2024-10-03
191,12,Robertsonburgh,Gomez-Moran,Occur Product,Small,32,47.97,2025-01-08
192,14,North Juanbury,Smith Ltd,Television Product,Large,39,21.3,2024-11-16
193,8,New Margaretside,Smith-Aguilar,Threat Product,Large,115,41.11,2025-02-02
194,37,New Veronicachester,Salazar-Graves,Believe Product,Small,205,41.12,2025-03-30
195,34,South Reginatown,Archer Group,College Product,Small,124,50.59,2024-12-01
196,42,South Maurice,Kaiser Group,Effect Product,Small,40,57.76,2024-11-22
197,48,Ramirezberg,"Smith, Davis and Lopez",With Product,Small,115,90.49,2024-08-06
198,31,Alexanderport,"Williamson, Holden and Sims",Card Product,Small,0,16.54,2024-06-04
199,43,North Kristin,"George, Macdonald and Harper",Situation Product,Small,0,24.19,2025-03-18
200,16,Lichester,Chapman-Marsh,Quickly Product,Medium,0,15.0,2024-06-29
201,21,Thompsonmouth,Sawyer Inc,Particular Product,Large,0,67.82,2024-11-06
202,18,West Jessica,Osborne-Brown,Whether Product,Large,0,47.17,2024-10-11
203,22,Fisherfurt,Thornton PLC,Month Product,Medium,79,90.86,2025-01-07
204,12,Williamsport,Rodriguez-Palmer,Pull Product,Medium,0,31.01,2025-01-18
205,1,Burnsberg,"Kelly, Smith and Aguilar",Nearly Product,Large,146,37.39,2025-01-07
206,24,Claytonhaven,Brown-Nelson,Down Product,Small,0,73.62,2024-04-12
207,20,Deborahtown,Long Ltd,Reveal Product,Medium,0,97.47,2024-07-10
208,43,Peterview,"Campbell, Black and Smith",Bill Product,Large,155,94.64,2024-04-27
209,32,Kennethshire,Patterson Inc,Act Product,Small,0,81.89,2025-03-20
210,34,Mitchelltown,James and Sons,Miss Product,Small,29,54.02,2024-10-18
211,8,Port Anthonyton,Lin and Sons,Game Product,Small,86,59.2,2025-03-23
212,8,New Michaelbury,Mcpherson and Sons,Forget Product,Medium,187,73.78,2024-12-06
213,21,Lake Nicholas,Mcpherson and Sons,You Product,Medium,183,36.64,2024-08-11
214,5,Rhondaburgh,Archer Group,Center Product,Small,147,98.0,2025-02-16
215,39,Port David,Best Group,Attack Product,Large,195,77.33,2024-05-26
216,46,Susanborough,Mahoney and Sons,Trip Product,Medium,152,44.14,2024-07-31
217,36,Saraberg,"Walker, Zimmerman and Williams",Quickly Product,Medium,206,55.46,2024-12-01
218,15,West Shelleyberg,Brown-Marshall,Seven Product,Small,172,38.2,2024-10-02
219,8,Justinburgh,Charles Ltd,Lead Product,Large,118,27.38,2024-10-29
220,28,Jonestown,Knapp-Wolf,Doctor Product,Medium,156,29.85,2024-04-30
221,49,Escobarmouth,Mcpherson and Sons,Lose Product,Large,27,36.14,2024-09-12
222,6,Fergusonmouth,Morales-Knox,Fight Product,Large,0,84.39,2024-05-12
223,24,Spearsborough,Dawson Inc,Contain Product,Small,0,27.35,2024-05-13
224,2,West Jonathan,"Wright, Winters and Dominguez",Stop Product,Medium,34,51.31,2025-04-04
225,40,Kristinaburgh,Russell and Sons,East Product,Small,85,54.27,2024-11-28
226,47,Port Melissa,"Harrell, Casey and Bates",Trip Product,Large,62,72.68,2024-11-24
227,11,Timshire,"Dalton, Sanders and Cantrell",Walk Product,Small,86,62.79,2024-06-25
228,23,North Elizabethtown,Adams and Sons,Part Product,Small,87,94.93,2024-04-22
229,42,East Mark,Brennan Group,Seek Product,Small,68,5.18,2025-03-29
230,20,Spearsburgh,"Ruiz, Rodriguez and Lane",Ahead Product,Large,198,83.4,2024-07-10
231,2,New Susanville,Perkins-Roberts,Eye Product,Medium,12,56.67,2024-06-14
232,20,Lake Jackburgh,"Bush, Reyes and Fox",Small Product,Medium,0,32.17,2024-10-02
233,46,Lake Michelle,"Phelps, Thompson and Chandler",More Product,Large,0,85.28,2025-01-29
234,46,East Craigtown,Bennett-Collins,American Product,Small,151,39.8,2024-11-01
235,27,Leeside,Day and Sons,Heavy Product,Large,0,96.44,2024-09-28
236,3,Davidsonhaven,Davis-Vasquez,Current Product,Small,135,34.4,2024-12-18
237,31,Jefferyborough,Mahoney and Sons,Detail Product,Large,18,86.94,2024-12-31
238,18,West Sarahberg,"Williams, Turner and Harris",Throw Product,Large,0,10.41,2024-09-26
239,44,West Michaelport,Davis-Russell,Very Product,Medium,186,90.74,2025-01-23
240,48,South Lukestad,Mason-Logan,Sister Product,Small,13,12.1,2024-12-07
241,49,Loganborough,"Dalton, Sanders and Cantrell",Month Product,Small,142,9.11,2024-11-06
242,16,Haasfurt,Hunt-Tucker,Both Product,Small,81,21.14,2024-05-12
243,26,Andresburgh,Gomez LLC,Environment Product,Large,55,38.76,2024-08-23
244,39,East Patrickhaven,Rodriguez-Palmer,Pull Product,Medium,129,31.01,2025-03-06
245,28,East Gregg,Williams-Mcintosh,At Product,Medium,190,52.67,2024-04-16
246,8,Lake Maryberg,"Cannon, Reynolds and Alvarado",Financial Product,Large,0,21.36,2024-09-15
247,43,Beasleyland,Mosley PLC,Artist Product,Small,112,18.73,2024-05-24
248,38,East Robert,"Miller, Wilkins and Williams",Remember Product,Large,156,82.77,2025-01-14
249,44,Sanchezborough,Knapp-Wolf,Doctor Product,Medium,57,29.85,2024-04-28
250,20,Lake Amandaton,"Bush, Reyes and Fox",Cost Product,Large,163,73.76,2025-03-14
251,24,Gainesberg,"Martin, Cline and Kramer",Design Product,Medium,60,55.85,2025-02-11
252,4,Craigborough,Snyder Ltd,Beyond Product,Medium,0,77.91,2025-01-15
253,45,South Raymond,Gomez LLC,Year Product,Small,23,10.35,2025-02-16
254,35,West Kathryn,Woods-Brady,Bed Product,Medium,0,50.79,2024-08-03
255,37,North Johnathantown,Bass and Sons,Organization Product,Large,243,66.97,2024-12-21
256,16,North Robinmouth,"Powell, Mcdaniel and Thomas",Cold Product,Large,0,51.7,2024-09-20
257,2,Patriciatown,"Delgado, Green and Wade",They Product,Medium,39,17.65,2024-04-10
258,27,Adamschester,"Delgado, Green and Wade",Idea Product,Medium,0,58.14,2024-08-26
259,1,Lake Robertton,Reynolds LLC,Only Product,Small,0,25.79,2024-11-16
260,30,Derrickborough,Williams-White,Base Product,Large,122,8.55,2024-06-12
261,27,Alyssahaven,Short-Cook,Certain Product,Large,0,17.2,2024-10-07
262,9,Port Scott,Obrien-Thompson,Heart Product,Small,116,73.05,2024-10-21
263,30,Moyerburgh,"Williamson, Holden and Sims",Hair Product,Large,101,72.85,2025-03-17
264,37,South Deborah,Short-Cook,Really Product,Large,69,55.97,2024-04-22
265,40,Zacharyton,Cook-Johnson,Past Product,Large,171,7.56,2024-10-23
266,7,Lake Victoriaview,"Stevens, Miller and Phillips",Simply Product,Small,290,53.97,2024-12-17
267,42,New Melissa,Horne LLC,Officer Product,Medium,30,94.99,2025-03-06
268,2,Karenview,Snyder Ltd,Face Product,Medium,169,94.2,2025-01-06
269,21,Port Paul,Reynolds-Hill,Medical Product,Large,205,58.25,2024-05-13
270,23,Harrisonshire,"Hamilton, Rivera and Kelley",Case Product,Medium,0,18.71,2025-01-26
271,8,Bellton,"Walker, Zimmerman and Williams",Fall Product,Large,58,86.86,2024-11-10
272,20,North Dawnstad,"Hamilton, Rivera and Kelley",Case Product,Medium,69,18.71,2024-06-01
273,20,East Bethany,Day and Sons,Control Product,Small,174,31.86,2024-08-02
274,26,Lake Davidshire,Long Ltd,Area Product,Large,32,10.76,2024-04-09
275,38,South Nicolechester,"Watkins, James and Page",Such Product,Small,0,82.15,2025-03-28
276,38,North Michaelfort,Combs Group,Against Product,Medium,99,85.11,2024-05-14
277,8,Taylorborough,Barrett-Roth,Body Product,Small,0,27.62,2024-06-29
278,21,Villarrealside,Davis-Vasquez,Dream Product,Small,205,92.28,2024-08-18
279,32,East Elizabeth,Rowe-Lewis,House Product,Medium,0,9.47,2025-02-04
280,4,South Nicholasview,Long Ltd,Ok Product,Large,43,63.12,2024-09-20
281,40,East Melinda,Conrad and Sons,Rule Product,Medium,81,79.2,2024-08-31
282,18,East Mary,Phillips Inc,Whole Product,Medium,0,70.51,2024-12-13
283,33,Lake Jennifer,"Strickland, Jones and Padilla",Whole Product,Small,132,75.38,2024-08-05
284,29,Smithburgh,Mccullough Group,Agency Product,Small,194,38.31,2024-06-03
285,50,Morenoberg,"Walker, Maddox and Clayton",Care Product,Large,163,11.82,2025-02-20
286,7,East Justin,Mosley PLC,Buy Product,Medium,18,58.09,2024-11-12
287,27,Bakertown,Charles Ltd,Edge Product,Small,181,94.23,2025-03-25
288,5,Robertstad,"West, Reed and Berry",Successful Product,Small,116,6.61,2024-04-14
289,44,Lake Josephton,Hopkins Ltd,Spend Product,Medium,104,9.75,2024-08-11
290,37,Pittsburgh,Howard Inc,Tonight Product,Large,142,78.08,2025-04-02
291,3,Jonesland,Mason-Logan,Compare Product,Medium,97,7.88,2024-06-30
292,18,Simpsonton,Thornton PLC,Design Product,Medium,114,48.59,2025-04-02
293,35,Pearsonside,Day and Sons,Determine Product,Large,0,72.32,2024-05-08
294,22,Whiteburgh,"Stone, Campbell and Robbins",Involve Product,Large,68,33.81,2024-06-08
295,29,South Justin,Day and Sons,Determine Product,Large,0,72.32,2025-03-06
296,47,Granttown,"Miller, Wilkins and Williams",Billion Product,Medium,44,96.98,2024-07-16
297,29,Wendyside,"West, Reed and Berry",Successful Product,Small,118,6.61,2024-08-04
298,10,North Monica,Austin PLC,Mind Product,Medium,71,77.54,2024-09-17
299,4,Cynthiaburgh,"George, Macdonald and Harper",Recently Product,Small,149,48.27,2025-02-11
300,34,Hernandezborough,Combs Group,Success Product,Large,0,47.29,2025-01-31
301,48,North Charlenehaven,"Massey, Lewis and Walter",Bit Product,Medium,0,13.88,2025-02-08
302,7,East Philip,"Kemp, Gillespie and Esparza",Major Product,Medium,0,76.86,2024-05-11
303,18,Port Taylor,Reynolds-Hill,Medical Product,Large,0,58.25,2024-06-14
304,45,Port Donna,Mcpherson and Sons,Out Product,Medium,0,29.62,2024-12-11
305,18,East Tiffany,Archer Group,Fly Product,Small,26,57.36,2024-10-24
306,43,Sharonton,Rodriguez-Palmer,Account Product,Large,143,45.68,2024-09-09
307,29,South Richardton,"Stone, Campbell and Robbins",Thought Product,Small,91,92.37,2024-09-01
308,39,New Ericmouth,"Atkinson, Osborn and Hamilton",Home Product,Medium,152,72.68,2024-09-19
309,13,North Benjaminshire,James and Sons,Impact Product,Large,0,85.46,2024-09-14
310,25,West Emilyberg,Edwards LLC,Finish Product,Medium,94,28.24,2024-11-23
311,4,Port Ericfort,Mercado-Jacobson,Personal Product,Small,115,7.06,2024-10-29
312,12,South Jeffreyhaven,"Williams, Schultz and Black",Box Product,Small,18,65.35,2025-03-19
313,26,West Roberttown,Osborne-Brown,Right Product,Large,0,79.98,2025-03-13
314,10,North Laura,Davis-Vasquez,Adult Product,Small,0,32.35,2025-01-06
315,29,Jasonfort,Estrada Inc,Yeah Product,Large,32,50.33,2024-12-25
316,4,South Nicole,Sawyer Inc,Value Product,Small,43,8.95,2024-04-12
317,47,Coreyview,"Garza, Perkins and Clark",Between Product,Small,134,13.97,2024-12-27
318,45,Port Nicole,"Dunn, Martinez and Brandt",Full Product,Medium,86,57.9,2025-03-13
319,48,Lake Michael,Dunlap Ltd,Really Product,Medium,173,85.49,2024-04-12
