inventoryid,store,city,brand,description,size,onhand,price,startdate
52,15,South Willie,Gentry-Gray,Eight Product,Large,228,41.61,2024-12-17
53,33,New Jamie,Price Group,Experience Product,Medium,125,57.95,2025-03-04
54,32,Lorifurt,"Williamson, Holden and Sims",Hair Product,Large,112,72.85,2025-02-09
55,3,East Jeanberg,"Williamson, Holden and Sims",Design Product,Small,0,95.77,2024-11-08
56,41,Baldwinshire,Mitchell LLC,Mean Product,Small,54,36.55,2025-01-11
57,34,Rogerburgh,Russell and Sons,Level Product,Large,0,48.06,2024-05-03
58,20,Baileyport,Williams-White,Whom Product,Small,1,57.64,2024-08-15
59,37,North Heatherport,"Jones, Martinez and Taylor",Answer Product,Medium,252,28.75,2024-09-03
60,31,Port Davidchester,"Walker, Zimmerman and Williams",Course Product,Medium,103,98.25,2024-11-25
61,29,Mooreside,Garcia-Ramirez,Again Product,Medium,6,47.52,2025-04-03
62,15,East Scott,Reynolds-Hill,When Product,Small,129,6.37,2024-10-27
63,48,Daniellefurt,Vasquez-Jackson,Box Product,Large,74,52.92,2024-07-12
64,16,Shannonport,Dawson Inc,Contain Product,Small,0,27.35,2024-08-09
65,13,Maloneville,Kirk-Perry,Trip Product,Large,0,29.91,2025-03-07
66,39,West Brendaside,Rowe-Lewis,House Product,Medium,0,9.47,2024-07-08
67,44,South Joshua,"Herrera, Jackson and Koch",Contain Product,Medium,150,9.57,2024-09-26
68,22,Hawkinsstad,"Williamson, Holden and Sims",Full Product,Medium,139,46.09,2025-01-16
69,32,New Kelly,"Stevens, Miller and Phillips",Majority Product,Medium,0,70.37,2024-06-02
70,1,Bautistaside,Snyder Ltd,Each Product,Medium,6,32.35,2025-03-01
71,13,East Michael,Rowe-Lewis,Player Product,Large,41,97.03,2025-03-01
72,47,New Heidibury,Hopkins Ltd,Condition Product,Medium,0,24.33,2025-03-09
73,34,Dunnville,"Kemp, Gillespie and Esparza",Major Product,Medium,111,76.86,2024-06-12
74,38,South Ashleyhaven,"Tucker, Jones and Hart",Finally Product,Medium,0,68.9,2024-08-22
75,6,Isaacshire,Richardson Group,Eye Product,Small,117,96.45,2025-02-16
76,2,West Matthewfort,"Freeman, Larson and Clark",Life Product,Small,237,37.96,2025-02-23
77,33,Lake Karenhaven,Williams-White,Or Product,Small,0,78.87,2024-07-30
78,18,Thomasville,Davis-Vasquez,Production Product,Medium,96,73.26,2024-07-24
79,5,Christinaside,"Herrera, Jackson and Koch",Or Product,Large,0,43.14,2024-10-20
80,10,Port Lisaborough,Obrien-Thompson,Give Product,Large,0,93.35,2024-12-21
81,45,Deniseborough,Martinez-Giles,Congress Product,Medium,216,83.18,2024-07-24
82,26,Tinaberg,Sullivan-Hubbard,Alone Product,Small,194,82.73,2024-12-30
83,43,Maybury,Gentry-Gray,Eight Product,Large,33,41.61,2024-06-24
84,4,Port Edward,Murphy-Gardner,Reach Product,Small,125,17.11,2024-07-14
85,38,East Oscar,Davis-Reyes,Approach Product,Large,30,79.16,2024-09-06
86,19,Hannahshire,"Turner, Armstrong and Fernandez",Three Product,Small,0,10.54,2024-04-18
87,41,New Yvonnefort,"Dunn, Martinez and Brandt",Huge Product,Medium,0,57.31,2025-03-11
88,49,West Theresa,"Navarro, Parker and Garcia",Interesting Product,Small,206,86.12,2024-08-20
89,27,Jamesview,Williams-White,Base Product,Large,75,8.55,2025-02-16
90,21,Whitneyberg,Horne LLC,Then Product,Large,26,82.56,2024-06-10
91,13,Port Calvin,Mccullough Group,Degree Product,Medium,119,65.62,2024-09-18
92,19,Amandamouth,"Hancock, Peters and Holmes",As Product,Small,0,82.71,2025-02-07
93,31,Craigtown,Davis-Vasquez,Level Product,Medium,105,54.33,2025-01-15
94,40,North Sarah,Hunt-Tucker,Wall Product,Large,137,83.57,2024-10-26
95,49,Lake Jeremyton,"Garza, Perkins and Clark",Between Product,Small,209,13.97,2024-07-29
96,14,West Melissa,"Turner, Armstrong and Fernandez",Possible Product,Small,234,65.47,2025-03-27
97,42,East Kimberly,Mahoney and Sons,Trip Product,Medium,221,44.14,2024-06-15
98,23,West Sally,Garner and Sons,Try Product,Medium,113,95.37,2025-03-13
99,11,Gilltown,"Walker, Maddox and Clayton",Resource Product,Large,78,64.52,2025-02-06
100,47,Lake Stephanie,Hansen Inc,Beyond Product,Medium,209,71.68,2024-07-12
101,47,Lake Michael,"Strickland, Jones and Padilla",Eye Product,Large,41,42.09,2024-06-03
102,22,New Jonathanview,"Garza, Perkins and Clark",Together Product,Large,232,68.59,2024-04-23
103,20,Carpenterburgh,Cook-Johnson,Join Product,Large,49,99.71,2024-08-04
104,18,West Ronald,"Williamson, Holden and Sims",Full Product,Medium,0,46.09,2024-07-03
105,43,South Jasonchester,Rowe-Lewis,Leg Product,Large,33,25.84,2024-04-15
106,25,North Francisco,Richardson Group,Clearly Product,Small,89,18.33,2025-01-07
107,20,West Heatherfort,"Tucker, Jones and Hart",Push Product,Small,58,92.64,2025-04-01
108,4,North Heiditown,Brown-Nelson,Kitchen Product,Small,73,5.63,2024-06-20
109,13,Smithberg,Davis-Vasquez,Company Product,Large,67,63.23,2024-09-22
110,16,West Jonview,"Campbell, Black and Smith",Air Product,Large,72,42.38,2024-06-16
111,33,Stephanieborough,Salazar-Graves,Believe Product,Small,0,41.12,2024-09-22
112,25,Shawfurt,Long-Bowman,Major Product,Small,238,56.64,2024-05-17
113,32,Port Patriciahaven,"Delgado, Green and Wade",They Product,Medium,50,17.65,2025-02-17
114,10,Byrdfort,"Hancock, Peters and Holmes",Economic Product,Small,184,95.45,2025-01-05
115,4,Johnsonside,Schmidt-Mathews,Increase Product,Medium,76,64.68,2025-03-19
116,10,Adamland,"Bailey, Avery and Edwards",Relationship Product,Medium,131,73.48,2024-08-30
117,23,East Andrewfort,"Powell, Mcdaniel and Thomas",International Product,Small,90,55.59,2025-01-21
118,35,Port Carla,Burns and Sons,Girl Product,Small,126,61.99,2025-03-06
119,21,Kellystad,Perez-Johnson,Least Product,Large,195,28.15,2024-05-26
120,48,Danielbury,Lyons PLC,Reason Product,Large,34,5.46,2024-09-19
121,46,New Deniseland,Long and Sons,Officer Product,Small,111,42.51,2024-08-04
122,25,East Anitamouth,Day and Sons,Six Product,Large,236,42.18,2025-01-07
123,5,North Lindsay,Kim-Gonzalez,Help Product,Small,58,28.76,2025-02-15
124,5,West Joel,Sullivan-Choi,Away Product,Medium,0,40.36,2024-11-20
125,41,Lopezside,Obrien-Thompson,Join Product,Large,48,45.06,2024-07-23
126,26,Port Laurashire,"Jennings, Davis and Newman",Its Product,Large,127,73.63,2024-04-10
127,6,New Reginahaven,Roy Group,Police Product,Medium,0,52.11,2024-10-08
128,38,Haileyberg,Thomas and Sons,Year Product,Medium,11,61.72,2025-02-16
129,30,Janicestad,"Atkinson, Osborn and Hamilton",Home Product,Medium,4,72.68,2024-10-24
130,23,Shawtown,"Walker, Zimmerman and Williams",Wall Product,Medium,209,18.46,2024-11-13
131,45,Lake Carmenmouth,Mitchell-Watson,Citizen Product,Small,180,53.26,2025-04-03
132,19,Port Brianton,Phillips Inc,Believe Product,Large,226,28.28,2024-06-26
133,43,Coffeytown,"Turner, Armstrong and Fernandez",Three Product,Small,42,10.54,2024-11-06
134,25,Jennyville,"Campbell, Black and Smith",See Product,Medium,88,86.5,2024-09-28
135,9,Marisaberg,Charles Ltd,Treat Product,Small,0,83.58,2024-04-16
136,7,New Anneberg,"Bush, Reyes and Fox",Imagine Product,Small,85,75.27,2025-03-09
137,31,Grayfurt,Lloyd Ltd,Hit Product,Medium,44,44.92,2024-10-04
138,49,Kathleenberg,Walker Inc,Establish Product,Small,30,33.88,2024-06-11
139,46,Anthonyville,"Jones, Martinez and Taylor",Partner Product,Small,196,71.51,2024-06-16
140,26,Lake Josephstad,Knox Group,Participant Product,Medium,160,24.55,2025-01-03
141,27,Whiteborough,Combs Group,Against Product,Medium,152,85.11,2024-07-10
142,48,Charlottetown,"Martin, Cline and Kramer",Entire Product,Large,76,57.14,2024-04-25
143,30,South Matthewchester,"Herrera, Jackson and Koch",Contain Product,Medium,0,9.57,2024-08-10
144,24,Lake Kathryntown,James and Sons,Leg Product,Small,0,65.83,2024-08-03
145,28,Nicoleside,Short-Cook,Really Product,Large,54,55.97,2024-10-08
146,9,Richardmouth,Dawson Inc,Cover Product,Small,109,49.76,2024-06-01
147,26,Emilyside,Reynolds LLC,Result Product,Large,210,21.8,2025-03-05
148,34,Cathybury,"Williams, Schultz and Black",Box Product,Small,0,65.35,2024-09-23
149,26,West Jameston,"Kent, Arias and Smith",Sort Product,Large,25,62.51,2024-09-26
150,2,Dodsonhaven,Combs Group,Charge Product,Small,128,43.68,2024-11-14
151,15,North Hollyfurt,"Williams, Turner and Harris",Agent Product,Small,8,82.4,2024-08-02
152,50,Veronicaton,"Kemp, Gillespie and Esparza",Low Product,Large,117,43.69,2024-06-17
153,14,Johnborough,Austin PLC,Mind Product,Medium,119,77.54,2025-02-03
154,2,Catherineshire,Morales-Knox,Offer Product,Medium,108,20.42,2025-01-14
155,26,New Debrastad,Davis-Russell,Very Product,Medium,92,90.74,2024-04-09
156,4,Choifurt,Obrien-Thompson,Discussion Product,Medium,88,40.93,2024-09-29
157,4,Nicholasstad,"Herrera, Jackson and Koch",Pressure Product,Medium,106,5.29,2024-05-12
158,36,Port Courtney,Perez-Johnson,Reach Product,Large,51,71.44,2025-02-12
159,47,Jeanport,Williams-Mcintosh,Stop Product,Small,187,47.41,2025-02-24
160,20,Ronaldchester,"Walker, Zimmerman and Williams",Fall Product,Large,112,7.23,2025-03-19
161,33,Avilaton,Lin and Sons,Recent Product,Small,112,45.61,2025-01-13
162,26,Grossmouth,"Campbell, Black and Smith",Air Product,Large,61,42.38,2024-07-14
163,24,Ericfurt,Brown Inc,Speak Product,Medium,72,8.4,2024-12-31
164,50,Rollinsstad,"George, Macdonald and Harper",Recently Product,Small,17,48.27,2024-05-08
165,8,Laurenton,Day and Sons,Work Product,Small,258,41.19,2024-04-23
166,14,Arthurhaven,Bennett-Collins,Car Product,Medium,137,67.35,2025-01-10
167,5,East Kimberly,Dawson Inc,Serve Product,Small,180,5.13,2024-11-15
168,39,West Breanna,"Bradley, Baker and Mcneil",Sometimes Product,Large,0,11.19,2025-02-14
169,8,Hansenville,"Johnson, Moses and Johnson",Among Product,Medium,0,96.83,2025-02-28
170,50,North Amy,Gomez-Moran,Economy Product,Small,0,75.74,2024-06-07
171,18,Jessicafort,Morales-Knox,Choose Product,Small,125,50.84,2025-02-07
172,17,Sarahburgh,"Bailey, Avery and Edwards",Name Product,Large,257,84.59,2025-01-22
173,10,Smithtown,"Harris, Clark and Matthews",Rate Product,Small,0,32.81,2024-11-12
174,13,Jeffreyfort,Obrien-Thompson,Join Product,Large,99,45.06,2025-02-08
175,10,Claytonland,Estrada Inc,Sure Product,Medium,0,37.16,2024-05-07
176,38,Wheelermouth,Thomas LLC,Fall Product,Small,122,32.78,2024-11-27
177,22,East Michael,Bell Ltd,Address Product,Medium,134,94.75,2024-09-25
178,41,Bethchester,Kim-Gonzalez,Help Product,Small,148,28.76,2024-08-16
179,49,North Brandi,"Briggs, Morris and Weber",Type Product,Medium,11,28.2,2024-08-24
180,31,Port Johnathan,"Vasquez, Morris and Ramos",Watch Product,Medium,170,46.37,2024-04-25
181,16,North Brandon,Wagner Group,Bad Product,Large,0,88.38,2025-02-18
182,1,Lake Jane,"Nguyen, Robinson and Mitchell",Minute Product,Small,111,67.21,2024-08-25
183,26,Olsonfurt,Austin PLC,Mind Product,Medium,65,77.54,2024-11-30
184,24,South Laurentown,James and Sons,Strong Product,Large,73,94.62,2024-05-29
185,24,South Justin,"Walker, Zimmerman and Williams",After Product,Small,182,80.04,2024-11-12
186,13,Lynchbury,Russell and Sons,Add Product,Large,104,15.55,2024-12-21
187,3,Gonzalezburgh,Walter PLC,Loss Product,Small,205,75.65,2024-04-27
188,33,Harrisshire,Larson-Lopez,Open Product,Large,245,32.62,2024-11-13
189,26,South Brendan,"Jones, Martinez and Taylor",Tree Product,Small,82,52.66,2024-06-18
190,4,Gillespiechester,Hopkins Ltd,Alone Product,Medium,0,60.2,2025-02-20
191,45,West Toni,Gentry-Gray,Expect Product,Medium,166,45.71,2025-03-02
192,35,North Nathaniel,Mitchell-Watson,Where Product,Large,194,20.35,2024-11-27
193,25,West John,Rowe-Lewis,Hit Product,Medium,43,18.24,2025-01-09
194,49,North Alexander,"Neal, Frey and Ferguson",Financial Product,Small,167,83.03,2024-08-23
195,31,Vincenthaven,Gomez-Moran,Argue Product,Small,218,31.46,2025-03-29
196,12,Lake Heathermouth,Lin and Sons,Consider Product,Medium,25,95.05,2025-02-28
197,14,Klinestad,"Harris, Clark and Matthews",Perform Product,Large,78,25.65,2025-04-03
198,17,Lake Kathrynside,Snyder Ltd,Each Product,Medium,127,32.35,2025-01-29
199,37,South Jill,Davis-Reyes,Large Product,Medium,127,37.16,2024-08-28
200,30,Taylorbury,"Ruiz, Rodriguez and Lane",Mouth Product,Medium,129,27.94,2024-06-21
201,10,Dylanborough,Hinton LLC,Window Product,Large,162,55.62,2025-03-15
202,12,New Toddstad,"Johnson, Moses and Johnson",Doctor Product,Large,0,57.68,2024-11-01
203,35,Kelseyport,"Bradley, Baker and Mcneil",Determine Product,Small,0,39.57,2024-06-12
204,30,South James,Howard Inc,Tough Product,Small,155,96.77,2024-09-30
205,34,North Brett,"Smith, Davis and Wright",Instead Product,Large,74,52.47,2024-10-14
206,50,South Paulchester,Davis-Reyes,Large Product,Medium,53,37.16,2025-01-27
207,25,West Jessica,Larson-Lopez,Minute Product,Large,74,68.68,2025-02-16
208,35,Port Sherrymouth,Morales-Knox,Choose Product,Small,9,50.84,2024-10-03
209,19,East Jay,"Johnson, Moses and Johnson",Among Product,Medium,58,96.83,2025-01-21
210,32,Ryanmouth,Cook-Johnson,Continue Product,Large,153,44.6,2024-10-07
211,43,Zacharytown,"Wright, Winters and Dominguez",Dinner Product,Large,204,75.84,2025-03-16
212,41,Port Elizabethstad,Kim-Gonzalez,Help Product,Small,30,28.76,2025-03-19
213,24,Myersborough,"Walker, Zimmerman and Williams",Wall Product,Medium,149,18.46,2024-07-16
214,9,Robinsonside,Brown-Marshall,Seven Product,Small,0,38.2,2025-01-09
215,8,Paynehaven,Davis-Russell,Water Product,Large,0,29.25,2025-02-27
216,23,Ninaview,"Campbell, Black and Smith",Modern Product,Small,69,88.2,2025-02-26
217,48,Lake Deniseview,"Tucker, Jones and Hart",Finally Product,Medium,47,68.9,2024-11-03
218,17,Josephborough,"Massey, Lewis and Walter",Plant Product,Small,6,79.21,2025-03-07
219,12,Christophermouth,Larson-Lopez,Open Product,Large,0,32.62,2024-05-11
220,6,Lake Michael,"Williamson, Fox and Johnson",Resource Product,Medium,75,53.18,2024-11-26
221,29,Howardbury,"Walker, Zimmerman and Williams",After Product,Small,0,80.04,2025-03-22
222,30,West Robertborough,Day and Sons,Six Product,Large,127,42.18,2025-02-09
223,21,Susanborough,Rogers-Sanchez,Yet Product,Large,80,21.8,2025-03-30
224,23,Leeburgh,Howard Inc,Tough Product,Small,154,96.77,2024-05-09
225,9,South Kevinfurt,Williams-White,Technology Product,Medium,216,95.62,2024-09-03
226,46,Johnsonside,"Campbell, Black and Smith",See Product,Medium,112,86.5,2024-09-27
227,40,Lake Chelseaton,West-Hernandez,Cup Product,Medium,0,97.48,2025-01-10
228,43,Reidport,Brown Inc,Recognize Product,Large,0,73.76,2025-02-07
229,2,South Jamesmouth,Osborne-Brown,Quite Product,Large,47,44.82,2025-03-09
230,29,South Kathleenton,"Hancock, Peters and Holmes",System Product,Large,165,75.82,2025-04-03
231,16,Leeburgh,Davis-Reyes,Scene Product,Medium,229,83.27,2024-09-02
232,35,South Brentland,"Walker, Maddox and Clayton",Resource Product,Large,32,64.52,2025-04-05
233,29,Port Tinahaven,Perez-Johnson,Cause Product,Medium,112,98.16,2024-04-24
234,3,Amandaberg,Perez-Johnson,Reach Product,Large,66,71.44,2024-12-21
235,12,Millerfurt,Hansen Inc,Career Product,Medium,99,45.51,2024-08-16
236,36,East Kevin,"Watkins, James and Page",Southern Product,Large,165,52.57,2025-02-06
237,19,Jenniferville,Hopkins Ltd,She Product,Medium,251,75.3,2024-09-22
238,21,North Eric,Adams and Sons,Federal Product,Small,159,60.94,2024-07-07
239,7,Saraberg,Sullivan-Choi,Century Product,Large,143,93.45,2024-09-17
240,29,Taylorview,James and Sons,Strong Product,Large,0,94.62,2024-11-04
241,21,Port Douglas,Rodriguez-Palmer,Pull Product,Medium,0,31.01,2024-06-10
242,44,Lake Danielview,Morales-Knox,Offer Product,Medium,0,20.42,2024-09-17
243,38,Rachelport,Daniels PLC,Star Product,Medium,188,29.38,2024-12-15
244,4,Velasquezburgh,Martinez-Giles,Point Product,Small,210,37.44,2024-09-09
245,20,Brettburgh,"Strickland, Jones and Padilla",Them Product,Large,0,70.81,2024-12-16
246,40,Codystad,Rogers and Sons,Movie Product,Small,165,19.25,2025-03-25
247,36,New Timothyton,Davis-Vasquez,Dream Product,Small,227,92.28,2024-06-20
248,14,North Tony,Morales-Knox,Face Product,Small,201,81.34,2025-02-02
249,42,West Alex,Vasquez-Velasquez,Car Product,Medium,14,65.28,2024-07-09
250,29,Shanehaven,Mason-Logan,Sister Product,Small,85,12.1,2024-09-09
251,23,Jonesbury,Rogers-Sanchez,Way Product,Medium,65,96.91,2024-10-07
252,2,North Tracy,Reynolds-Hill,Medical Product,Large,231,58.25,2025-01-26
253,22,East Thomas,Morales-Knox,Offer Product,Medium,117,20.42,2024-12-21
254,36,North Jessicamouth,Austin PLC,Use Product,Medium,143,42.77,2024-05-16
255,35,Jamesmouth,Brock Group,Those Product,Small,48,94.88,2025-02-04
256,30,Kirbybury,Lyons PLC,Reason Product,Large,188,5.46,2024-05-18
257,42,Geraldmouth,Knox Group,Participant Product,Small,51,18.72,2024-11-01
258,26,Pughton,"Walker, Zimmerman and Williams",Fall Product,Large,0,7.23,2025-02-28
259,14,Tranbury,Adams and Sons,Wide Product,Large,150,47.33,2025-02-22
260,48,West Savannah,"Tucker, Jones and Hart",Seek Product,Small,66,95.26,2024-08-12
261,49,North Bob,Austin PLC,Us Product,Large,94,86.41,2024-11-27
262,36,New Susanburgh,Rios Group,Magazine Product,Medium,154,15.28,2024-08-05
263,40,Lake Katherinemouth,"Williams, Turner and Harris",Minute Product,Large,176,98.67,2024-11-21
264,3,Johnathanmouth,Hunt-Tucker,Great Product,Medium,216,7.25,2024-06-23
265,35,Garrettview,Conrad and Sons,There Product,Small,0,98.38,2024-11-19
266,38,Angelafort,Wagner Group,Themselves Product,Medium,91,36.7,2025-04-01
267,9,South Patrickstad,Knox Group,Choice Product,Medium,21,48.91,2024-12-24
268,14,Kevinshire,"Dunn, Martinez and Brandt",Hand Product,Medium,240,73.54,2024-12-16
269,13,Brandibury,Conrad and Sons,But Product,Large,37,27.78,2024-09-29
270,41,Navarrotown,"Briggs, Morris and Weber",Large Product,Medium,37,95.11,2024-10-25
271,44,Johnburgh,Conrad and Sons,Seat Product,Small,175,70.48,2025-02-07
272,40,Lake Dennisfort,Rogers-Sanchez,Food Product,Medium,0,45.87,2025-01-03
273,20,North Veronica,"Watkins, James and Page",Same Product,Medium,70,64.05,2024-12-30
274,22,Jacksonside,Brennan Group,Who Product,Medium,158,30.48,2024-10-06
275,34,Lake Traciefurt,Day and Sons,Six Product,Large,0,42.18,2024-10-18
276,15,West Kristenview,Mosley PLC,Buy Product,Medium,152,58.09,2025-04-01
277,49,East Courtney,Charles Ltd,Pm Product,Small,0,7.77,2024-12-10
278,19,Matthewburgh,Williams-Mcintosh,Yet Product,Small,181,78.22,2024-10-24
279,13,Lake Ericview,"Walker, Maddox and Clayton",Care Product,Large,0,11.82,2024-11-24
280,16,New Wayneview,"Atkinson, Osborn and Hamilton",Home Product,Medium,44,72.68,2024-09-14
281,24,Scottview,"Vasquez, Morris and Ramos",Anything Product,Small,67,41.88,2024-05-28
282,21,Kimside,"Massey, Lewis and Walter",Plant Product,Small,56,79.21,2024-07-18
283,26,New Annaport,"Harrell, Casey and Bates",Full Product,Large,134,14.34,2024-10-03
284,42,Monicabury,"Jennings, Davis and Newman",Its Product,Large,14,73.63,2025-03-26
285,2,Contrerasberg,Burns and Sons,Name Product,Medium,14,90.5,2024-05-16
286,48,Boyleshire,Schmidt-Mathews,Hospital Product,Medium,139,81.17,2024-12-24
287,7,Mosesstad,"Bush, Reyes and Fox",Condition Product,Medium,54,21.05,2024-10-19
288,4,Kimberlybury,Knox Group,Participant Product,Medium,47,24.55,2024-07-13
289,3,South Michael,Garner and Sons,Try Product,Medium,201,95.37,2025-01-08
290,12,North Anita,Howard Inc,Moment Product,Large,29,65.38,2025-02-10
291,17,Rubentown,Archer Group,South Product,Medium,0,6.45,2024-09-05
292,45,South Evan,Spencer Group,Lead Product,Small,73,76.67,2024-07-25
293,17,Port Chelsey,Larson-Lopez,Minute Product,Large,0,68.68,2024-08-21
294,13,North David,Brock Group,Benefit Product,Large,82,81.69,2024-07-23
295,11,Lake Matthew,Chapman-Marsh,Quickly Product,Medium,0,15.0,2024-12-02
296,9,East Benjamin,Perkins-Roberts,Require Product,Small,239,76.72,2024-06-16
297,6,North Devonfort,"Stevens, Miller and Phillips",Majority Product,Medium,0,70.37,2024-10-08
298,34,East Jasmineland,"West, Reed and Berry",Condition Product,Small,154,87.03,2025-01-16
299,37,Brianbury,Wagner Group,Such Product,Medium,155,81.55,2025-02-12
300,35,West Sarafort,Long Ltd,Have Product,Medium,153,26.72,2025-02-28
301,28,Lake Makaylachester,Brown-Nelson,Though Product,Small,136,63.68,2025-02-25
302,17,East Brenda,Gomez-Moran,Occur Product,Small,138,47.97,2024-05-05
303,37,Hamiltonshire,Kim-Gonzalez,Long Product,Large,180,26.06,2024-10-23
304,45,Lake Sharon,Estrada Inc,Sure Product,Medium,50,37.16,2024-06-20
305,19,South Erinburgh,Bennett-Collins,Industry Product,Small,181,51.91,2024-07-24
306,20,Greenemouth,Perkins-Roberts,Couple Product,Small,0,93.12,2025-01-06
307,1,Larrychester,Daniels PLC,Bit Product,Small,0,71.81,2024-05-14
308,44,Jasonview,Smith-Aguilar,Understand Product,Small,263,55.97,2025-03-18
309,27,Aaronmouth,Gates-Pittman,Most Product,Small,0,28.28,2024-08-06
310,42,East Amberfurt,Walker Inc,Instead Product,Large,103,91.59,2024-08-30
311,31,Medinatown,Pittman-Lucas,Within Product,Large,0,6.98,2024-10-18
312,24,New Joville,"Lucas, Johnson and Alvarez",Turn Product,Large,191,12.02,2025-01-09
313,20,New Andrewport,"Smith, Davis and Wright",Instead Product,Large,86,52.47,2025-03-18
314,46,New Christianton,Walter PLC,Decade Product,Small,17,41.16,2024-11-10
315,24,Phillipfurt,Dunlap Ltd,From Product,Medium,139,5.13,2025-02-15
316,8,Port Bryan,Vasquez-Jackson,Opportunity Product,Small,126,38.18,2024-12-02
317,45,Benjaminville,Obrien-Thompson,Give Product,Large,39,93.35,2025-03-27
318,2,Martinezmouth,Williams LLC,Choose Product,Small,98,5.59,2024-07-14
319,19,East Rebecca,"Williams, Turner and Harris",Throw Product,Large,82,10.41,2024-10-29
